|6.6.6
h2o_1E-14_3.tab                                                                                     
           2
f_CO2   
  -12.000000000000000     
   4.1139240506329111E-002
         317
f_O2    
  -110.00000000000000     
  0.34810126582278483     
         317
           5
f_CO2          f_O2           C[O(HP)1]      C[Opx(HP)2]    C[Cc(AE)3]    
 -12.0000       -110.000       0.999999       0.999998                 NaN
 -11.9589       -110.000       0.999999       0.999998                 NaN
 -11.9177       -110.000       0.999999       0.999998                 NaN
 -11.8766       -110.000       0.999999       0.999998                 NaN
 -11.8354       -110.000       0.999999       0.999998                 NaN
 -11.7943       -110.000       0.999999       0.999998                 NaN
 -11.7532       -110.000       0.999999       0.999998                 NaN
 -11.7120       -110.000       0.999999       0.999998                 NaN
 -11.6709       -110.000       0.999999       0.999998                 NaN
 -11.6297       -110.000       0.999999       0.999998                 NaN
 -11.5886       -110.000       0.999999       0.999998                 NaN
 -11.5475       -110.000       0.999999       0.999998                 NaN
 -11.5063       -110.000       0.999999       0.999998                 NaN
 -11.4652       -110.000       0.999999       0.999998                 NaN
 -11.4241       -110.000       0.999999       0.999998                 NaN
 -11.3829       -110.000       0.999999       0.999998                 NaN
 -11.3418       -110.000       0.999999       0.999998                 NaN
 -11.3006       -110.000       0.999999       0.999998                 NaN
 -11.2595       -110.000       0.999999       0.999998                 NaN
 -11.2184       -110.000       0.999999       0.999998                 NaN
 -11.1772       -110.000       0.999999       0.999998                 NaN
 -11.1361       -110.000       0.999999       0.999998                 NaN
 -11.0949       -110.000       0.999999       0.999998                 NaN
 -11.0538       -110.000       0.999999       0.999998                 NaN
 -11.0127       -110.000       0.999999       0.999998                 NaN
 -10.9715       -110.000       0.999999       0.999998                 NaN
 -10.9304       -110.000       0.999999       0.999998                 NaN
 -10.8892       -110.000       0.999999       0.999998                 NaN
 -10.8481       -110.000       0.999999       0.999998                 NaN
 -10.8070       -110.000       0.999999       0.999998                 NaN
 -10.7658       -110.000       0.999999       0.999998                 NaN
 -10.7247       -110.000       0.999999       0.999998                 NaN
 -10.6835       -110.000       0.999999       0.999998                 NaN
 -10.6424       -110.000       0.999999       0.999998                 NaN
 -10.6013       -110.000       0.999999       0.999998                 NaN
 -10.5601       -110.000       0.999999       0.999998                 NaN
 -10.5190       -110.000       0.999999       0.999998                 NaN
 -10.4778       -110.000       0.999999       0.999998                 NaN
 -10.4367       -110.000       0.999999       0.999998                 NaN
 -10.3956       -110.000       0.999999       0.999998                 NaN
 -10.3544       -110.000       0.999999       0.999998                 NaN
 -10.3133       -110.000       0.999999       0.999998                 NaN
 -10.2722       -110.000       0.999999       0.999998                 NaN
 -10.2310       -110.000       0.999999       0.999998                 NaN
 -10.1899       -110.000       0.999999       0.999998                 NaN
 -10.1487       -110.000       0.999999       0.999998                 NaN
 -10.1076       -110.000       0.999999       0.999998                 NaN
 -10.0665       -110.000       0.999999       0.999998                 NaN
 -10.0253       -110.000       0.999999       0.999998                 NaN
 -9.98418       -110.000       0.999999       0.999998                 NaN
 -9.94304       -110.000       0.999999       0.999998                 NaN
 -9.90190       -110.000       0.999999       0.999998                 NaN
 -9.86076       -110.000       0.999999       0.999998                 NaN
 -9.81962       -110.000       0.999999       0.999998                 NaN
 -9.77848       -110.000       0.999999       0.999998                 NaN
 -9.73734       -110.000       0.999999       0.999998                 NaN
 -9.69620       -110.000       0.999999       0.999998                 NaN
 -9.65506       -110.000       0.999999       0.999998                 NaN
 -9.61392       -110.000       0.999999       0.999998                 NaN
 -9.57278       -110.000       0.999999       0.999998                 NaN
 -9.53165       -110.000       0.999999       0.999998                 NaN
 -9.49051       -110.000       0.999999       0.999998                 NaN
 -9.44937       -110.000       0.999999       0.999998                 NaN
 -9.40823       -110.000       0.999999       0.999998                 NaN
 -9.36709       -110.000       0.999999       0.999998                 NaN
 -9.32595       -110.000       0.999999       0.999998                 NaN
 -9.28481       -110.000       0.999999       0.999998                 NaN
 -9.24367       -110.000       0.999999       0.999998                 NaN
 -9.20253       -110.000       0.999999       0.999998                 NaN
 -9.16139       -110.000       0.999999       0.999998                 NaN
 -9.12025       -110.000       0.999999       0.999998                 NaN
 -9.07911       -110.000       0.999999       0.999998                 NaN
 -9.03797       -110.000       0.999999       0.999998                 NaN
 -8.99684       -110.000       0.999999       0.999998                 NaN
 -8.95570       -110.000       0.999999       0.999998                 NaN
 -8.91456       -110.000       0.999999       0.999998                 NaN
 -8.87342       -110.000       0.999999       0.999998                 NaN
 -8.83228       -110.000       0.999999       0.999998                 NaN
 -8.79114       -110.000       0.999999       0.999998                 NaN
 -8.75000       -110.000       0.999999       0.999998                 NaN
 -8.70886       -110.000       0.999999       0.999998                 NaN
 -8.66772       -110.000       0.999999       0.999998                 NaN
 -8.62658       -110.000       0.999999       0.999998                 NaN
 -8.58544       -110.000       0.999999       0.999998                 NaN
 -8.54430       -110.000       0.999999       0.999998                 NaN
 -8.50316       -110.000       0.999999       0.999998                 NaN
 -8.46203       -110.000       0.999999       0.999998                 NaN
 -8.42089       -110.000       0.999999       0.999998                 NaN
 -8.37975       -110.000       0.999999       0.999998                 NaN
 -8.33861       -110.000       0.999999       0.999998                 NaN
 -8.29747       -110.000       0.999999       0.999998                 NaN
 -8.25633       -110.000       0.999999       0.999998                 NaN
 -8.21519       -110.000       0.999999       0.999998                 NaN
 -8.17405       -110.000       0.999999       0.999998                 NaN
 -8.13291       -110.000       0.999999       0.999998                 NaN
 -8.09177       -110.000       0.999999       0.999998                 NaN
 -8.05063       -110.000       0.999999       0.999998                 NaN
 -8.00949       -110.000       0.999999       0.999998                 NaN
 -7.96835       -110.000       0.999999       0.999998                 NaN
 -7.92722       -110.000                 NaN  0.999998       0.999996     
 -7.88608       -110.000                 NaN  0.999997       0.999996     
 -7.84494       -110.000                 NaN  0.999997       0.999996     
 -7.80380       -110.000                 NaN  0.999997       0.999995     
 -7.76266       -110.000                 NaN  0.999996       0.999994     
 -7.72152       -110.000                 NaN  0.999996       0.999994     
 -7.68038       -110.000                 NaN  0.999996       0.999993     
 -7.63924       -110.000                 NaN  0.999995       0.999993     
 -7.59810       -110.000                 NaN  0.999995       0.999992     
 -7.55696       -110.000                 NaN  0.999994       0.999992     
 -7.51582       -110.000                 NaN  0.999994       0.999991     
 -7.47468       -110.000                 NaN  0.999993       0.999990     
 -7.43354       -110.000                 NaN  0.999992       0.999989     
 -7.39241       -110.000                 NaN  0.999992       0.999988     
 -7.35127       -110.000                 NaN  0.999991       0.999986     
 -7.31013       -110.000                 NaN  0.999990       0.999985     
 -7.26899       -110.000                 NaN  0.999989       0.999983     
 -7.22785       -110.000                 NaN  0.999988       0.999982     
 -7.18671       -110.000                 NaN  0.999987       0.999980     
 -7.14557       -110.000                 NaN  0.999985       0.999978     
 -7.10443       -110.000                 NaN  0.999984       0.999976     
 -7.06329       -110.000                 NaN  0.999983       0.999974     
 -7.02215       -110.000                 NaN  0.999980       0.999969     
 -6.98101       -110.000                 NaN  0.999978       0.999967     
 -6.93987       -110.000                 NaN  0.999974       0.999962     
 -6.89873       -110.000                 NaN  0.999974       0.999962     
 -6.85759       -110.000                 NaN  0.999972       0.999958     
 -6.81646       -110.000                 NaN            NaN  0.999954     
 -6.77532       -110.000                 NaN            NaN  0.999948     
 -6.73418       -110.000                 NaN            NaN  0.999944     
 -6.69304       -110.000                 NaN            NaN  0.999944     
 -6.65190       -110.000                 NaN            NaN  0.999928     
 -6.61076       -110.000                 NaN            NaN  0.999925     
 -6.56962       -110.000                 NaN            NaN  0.999918     
 -6.52848       -110.000                 NaN            NaN  0.999909     
 -6.48734       -110.000                 NaN            NaN  0.999900     
 -6.44620       -110.000                 NaN            NaN  0.999890     
 -6.40506       -110.000                 NaN            NaN  0.999881     
 -6.36392       -110.000                 NaN            NaN  0.999867     
 -6.32278       -110.000                 NaN            NaN  0.999853     
 -6.28165       -110.000                 NaN            NaN  0.999840     
 -6.24051       -110.000                 NaN            NaN  0.999826     
 -6.19937       -110.000                 NaN            NaN  0.999806     
 -6.15823       -110.000                 NaN            NaN  0.999786     
 -6.11709       -110.000                 NaN            NaN  0.999766     
 -6.07595       -110.000                 NaN            NaN  0.999746     
 -6.03481       -110.000                 NaN            NaN  0.999716     
