|6.6.6
h2o_1E-14_3.tab                                                                                     
           2
f_CO2   
  -12.000000000000000     
   4.1139240506329111E-002
         317
f_O2    
  -110.00000000000000     
  0.34810126582278483     
         317
           8
f_CO2          f_O2           MgO,wt%        FeO,wt%        SiO2,wt%       H2O,wt%        O2,wt%         CO2,wt%       
 -12.0000       -110.000        31.5853        37.5350        39.2387        0.00000       -8.35893        0.00000     
 -11.9589       -110.000        31.5853        37.5350        39.2387        0.00000       -8.35893        0.00000     
 -11.9177       -110.000        31.5853        37.5350        39.2387        0.00000       -8.35893        0.00000     
 -11.8766       -110.000        31.5853        37.5350        39.2387        0.00000       -8.35893        0.00000     
 -11.8354       -110.000        31.5853        37.5350        39.2387        0.00000       -8.35893        0.00000     
 -11.7943       -110.000        31.5853        37.5350        39.2387        0.00000       -8.35893        0.00000     
 -11.7532       -110.000        31.5853        37.5350        39.2387        0.00000       -8.35893        0.00000     
 -11.7120       -110.000        31.5853        37.5350        39.2387        0.00000       -8.35893        0.00000     
 -11.6709       -110.000        31.5853        37.5350        39.2387        0.00000       -8.35893        0.00000     
 -11.6297       -110.000        31.5853        37.5350        39.2387        0.00000       -8.35893        0.00000     
 -11.5886       -110.000        31.5853        37.5350        39.2387        0.00000       -8.35893        0.00000     
 -11.5475       -110.000        31.5853        37.5350        39.2387        0.00000       -8.35893        0.00000     
 -11.5063       -110.000        31.5853        37.5350        39.2387        0.00000       -8.35893        0.00000     
 -11.4652       -110.000        31.5853        37.5350        39.2387        0.00000       -8.35893        0.00000     
 -11.4241       -110.000        31.5853        37.5350        39.2387        0.00000       -8.35893        0.00000     
 -11.3829       -110.000        31.5853        37.5350        39.2387        0.00000       -8.35893        0.00000     
 -11.3418       -110.000        31.5853        37.5350        39.2387        0.00000       -8.35893        0.00000     
 -11.3006       -110.000        31.5853        37.5350        39.2387        0.00000       -8.35893        0.00000     
 -11.2595       -110.000        31.5853        37.5350        39.2387        0.00000       -8.35893        0.00000     
 -11.2184       -110.000        31.5853        37.5350        39.2387        0.00000       -8.35893        0.00000     
 -11.1772       -110.000        31.5853        37.5350        39.2387        0.00000       -8.35893        0.00000     
 -11.1361       -110.000        31.5853        37.5350        39.2387        0.00000       -8.35893        0.00000     
 -11.0949       -110.000        31.5853        37.5350        39.2387        0.00000       -8.35893        0.00000     
 -11.0538       -110.000        31.5853        37.5350        39.2387        0.00000       -8.35893        0.00000     
 -11.0127       -110.000        31.5853        37.5350        39.2387        0.00000       -8.35893        0.00000     
 -10.9715       -110.000        31.5853        37.5350        39.2387        0.00000       -8.35893        0.00000     
 -10.9304       -110.000        31.5853        37.5350        39.2387        0.00000       -8.35893        0.00000     
 -10.8892       -110.000        31.5853        37.5350        39.2387        0.00000       -8.35893        0.00000     
 -10.8481       -110.000        31.5853        37.5350        39.2387        0.00000       -8.35893        0.00000     
 -10.8070       -110.000        31.5853        37.5350        39.2387        0.00000       -8.35893        0.00000     
